Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-001,Theft,LYTTELTON MANOR,Contents,,,,2026-06-28 14:39:00,1725.0,Home contents - Theft,Theft,LYTTELTON MANOR,LYTTELTON MANOR,True,True
INC-002,Theft,BOKSBURG,Vehicle,MAZDA,CX-3-2015-,2020.0,2026-06-27 12:07:00,391572.28,Motor Vehicle - Theft,Theft,BOKSBURG,BOKSBURG,True,True
INC-003,Theft,VANDERBIJLPARK S. E. 8,Vehicle,HONDA,AMAZE 1.2 TREND-2018-,2022.0,2026-06-27 10:00:00,1750.0,Motor Vehicle - Theft,Theft,VANDERBIJLPARK S. E. 8,VANDERBIJLPARK S. E. 8,True,True
INC-004,Theft,VEREENIGING,Contents,,,,2026-06-24 12:28:00,66129.74,Home contents - Theft,Theft,VEREENIGING,VEREENIGING,True,True
INC-005,Theft,EAST LONDON CBD,Vehicle,VOLKSWAGEN,T-CROSS 1.0 TSI COMFORTLINE DSG-2019-,2022.0,2026-06-24 09:18:00,2584.63,Motor Vehicle - Theft,Theft,EAST LONDON CBD,EAST LONDON CBD,True,True
INC-006,Theft,MEYERTON PARK (FARMS),Vehicle,TOYOTA,STARLET CROSS 1.5XR A/T-2024-,2025.0,2026-06-23 06:59:00,53957.24,Motor Vehicle - Theft,Theft,MEYERTON PARK (FARMS),MEYERTON PARK (FARMS),True,True
INC-007,Theft,BEYERS PARK,Contents,,,,2026-06-23 03:20:00,5000.0,Home contents - Theft,Theft,BEYERS PARK,BEYERS PARK,True,True
INC-008,Theft,BELLAIR,Vehicle,HYUNDAI,TUCSON 2.0 PREMIUM-2016-2023,2017.0,2026-06-23 02:40:00,5593.42,Motor Vehicle - Theft,Theft,BELLAIR,BELLAIR,True,True
INC-009,Theft,WOODSTOCK,Contents,,,,2026-06-22 21:17:00,10000.0,Home contents - Theft,Theft,WOODSTOCK,WOODSTOCK,True,True
INC-010,Theft,NEWTON PARK,Vehicle,KIA,PEGAS 1.4 LX-2021-,2021.0,2026-06-22 17:22:00,8778.9,Motor Vehicle - Theft,Theft,NEWTON PARK,NEWTON PARK,True,True
INC-011,Theft,HARTEBEESPOORT,Vehicle,FORD,RANGER 2.0D BI-TURBO WILDTRAK 4X4 A/T P/U D/C-2019-,2022.0,2026-06-22 13:44:00,17941.61,Motor Vehicle - Theft,Theft,HARTEBEESPOORT,HARTEBEESPOORT,True,True
INC-012,Attempted Theft,WATERKLOOF GLEN,Contents,,,,2026-06-22 13:31:46,3574.0,Home contents - Theft,Theft,WATERKLOOF GLEN,WATERKLOOF GLEN,True,True
INC-014,Theft,WESTCLIFF,Vehicle,MITSUBISHI,PAJERO SPORT 2.4D 4X4 A/T-2017-2020,2018.0,2026-06-20 23:00:00,9077.9,Motor Vehicle - Theft,Theft,WESTCLIFF,WESTCLIFF,True,True
INC-015,Theft,RADIOKOP,Contents,,,,2026-06-20 18:45:00,49359.92,Home contents - Theft,Theft,RADIOKOP,RADIOKOP,True,True
INC-016,Theft,GREEN POINT,Vehicle,HYUNDAI,VENUE 1.0 TGDI FLUID DCT-2022-,2024.0,2026-06-20 18:30:00,21505.67,Motor Vehicle - Theft,Theft,GREEN POINT,GREEN POINT,True,True
INC-017,Theft,HIGH RIDING COUNTRY ESTATE,Contents,,,,2026-06-20 17:10:00,32500.0,Home contents - Theft,Theft,HIGH RIDING COUNTRY ESTATE,HIGH RIDING COUNTRY ESTATE,True,True
INC-018,Theft,BENMORE GARDENS,Contents,,,,2026-06-20 14:00:04,27999.0,Home contents - Theft,Theft,BENMORE GARDENS,BENMORE GARDENS,True,True
INC-019,Theft,PROTEA PARK,Contents,,,,2026-06-20 13:00:00,11910.0,Home contents - Theft,Theft,PROTEA PARK,PROTEA PARK,True,True
INC-020,Theft,SUNDOWNER,Vehicle,SUBARU,FORESTER 2.5 XT-2004-2005,2005.0,2026-06-20 08:20:00,90000.0,Motor Vehicle - Theft,Theft,SUNDOWNER,SUNDOWNER,True,True
INC-021,Theft,HALFWAY GARDENS,Vehicle,MERCEDES-BENZ,C180-2014-2018,2014.0,2026-06-19 17:15:00,197929.06,Motor Vehicle - Theft,Theft,HALFWAY GARDENS,HALFWAY GARDENS,True,True
INC-022,Theft,PORT ELIZABETH,Vehicle,SUZUKI,SWIFT 1.2 GL-2024-,2026.0,2026-06-19 12:48:01,1692.98,Motor Vehicle - Theft,Theft,PORT ELIZABETH,PORT ELIZABETH,True,True
INC-023,Theft,UPINGTON,Contents,,,,2026-06-17 14:20:00,38753.0,Home contents - Theft,Theft,UPINGTON,UPINGTON,True,True
INC-025,Theft,CAPE TOWN CITY CENTRE,Vehicle,FIAT,500X 1.4T CROSS-2015-2022,2015.0,2026-06-17 03:16:00,4312.5,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True
INC-026,Theft,KUILS RIVER,Vehicle,HYUNDAI,VENUE 1.0 TGDI MOTION-2019-2023,2022.0,2026-06-16 18:30:00,16418.85,Motor Vehicle - Theft,Theft,KUILS RIVER,KUILS RIVER,True,True
INC-027,Burglary,WINGATE PARK,Contents,,,,2026-06-16 03:29:00,35063.0,Home contents - Theft,Theft,WINGATE PARK,WINGATE PARK,True,True
