Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,quarantine_reason
INC-013,Theft,,Vehicle,HYUNDAI,ATOS 1.1 MOTION-2019-,2020.0,2026-06-21 18:00:00,2500.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-024,Hijack,,Vehicle,BMW,X3 xDRIVE 20d M-SPORT (G01)-2021-,2023.0,2026-06-17 09:15:00,12747.67,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-033,Hijack,,Vehicle,DATSUN,GO 1.2 LUX-2018-2023,2018.0,2026-06-13 22:00:00,123420.44,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-060,Theft,,Vehicle,VOLKSWAGEN,POLO 1.0 TSI LIFE DSG-2022-,2024.0,2026-06-05 20:32:00,427694.59,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-149,Theft,,Contents,,,,2026-05-19 00:00:00,28576.0,Home contents - Theft,Theft,,,True,False,missing_suburb
INC-156,Theft,,Contents,,,,2026-05-16 15:00:00,37449.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-201,Theft,,Contents,,,,2026-05-08 20:31:00,59485.1,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-217,Theft,,Contents,,,,2026-05-05 19:54:00,16999.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-236,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 GR-S 4X4 A/T P/U D/C-2022-,2023.0,2026-05-02 00:00:00,13629.0,Motor Vehicle - Theft,Theft,,,True,False,missing_suburb
INC-237,Hijack,,Contents,,,,2026-05-01 17:00:00,35910.8,Home contents - Theft,Hijack,,,True,True,missing_suburb
INC-268,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 RB LEGEND 55 4X4 A/T P/U E/CAB-2025-,2025.0,2026-04-27 14:00:00,16190.06,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-290,Theft,,Vehicle,BMW,X3 xDRIVE M40i (G01)-2017-2022,2020.0,2026-04-20 12:00:00,9244.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-373,Stolen and recovered,,Vehicle,NISSAN,NAVARA 2.5DDTI PRO-4X WARRIOR 4X4 A/T D/C P/U-2025-,2025.0,2026-04-04 09:41:00,148120.2,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
