Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-025,Theft,CAPE TOWN CITY CENTRE,Vehicle,FIAT,500X 1.4T CROSS-2015-2022,2015.0,2026-06-17 03:16:00,4312.5,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-043,Theft,BRYANSTON,Contents,,,,2026-06-10 12:45:00,28396.9,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-055,Theft,BRYANSTON,Contents,,,,2026-06-06 22:00:00,15397.0,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-068,Theft,BEDFORDVIEW,Vehicle,TOYOTA,FORTUNER 3.0D-4D R/B-2011-2017,2012.0,2026-06-03 05:25:00,266872.28,Motor Vehicle - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,True,Gauteng
INC-073,Theft,FOURWAYS,Vehicle,PEUGEOT,3008 1.6T ALLURE A/T-2021-,2024.0,2026-06-02 18:30:00,4312.5,Motor Vehicle - Theft,Theft,FOURWAYS,FOURWAYS,True,True,Gauteng
INC-086,Theft,RONDEBOSCH,Vehicle,TOYOTA,FORTUNER 3.0D-4D R/B A/T-2011-2017,2015.0,2026-05-30 18:00:00,318387.69,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-087,Theft,SEA POINT,Vehicle,RENAULT,KWID 1.0 DYNAMIQUE / ZEN / TECHNO 5DR-2019-,2020.0,2026-05-30 15:45:00,9438.44,Motor Vehicle - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-121,Theft,RONDEBOSCH,Vehicle,VOLKSWAGEN,GOLF VII 1.2 TSI TRENDLINE-2013-2015,2014.0,2026-05-23 10:00:00,7748.5,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-122,Theft,RONDEBOSCH,Vehicle,FORD,EVEREST 2.2 TDCi  XLT A/T-2016-2020,2017.0,2026-05-23 10:00:00,7852.67,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-126,Theft,RONDEBOSCH,Vehicle,VOLKSWAGEN,AMAROK 2.0 BiTDi HIGHLINE 132KW A/T D/C P/U-2014-2020,2017.0,2026-05-22 15:00:00,6520.0,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-130,Theft,SOMERSET WEST,Contents,,,,2026-05-21 19:05:00,1210.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-131,Theft,SOMERSET WEST,Vehicle,SUZUKI,IGNIS 1.2 GLX A/T-2017-,2024.0,2026-05-21 19:05:00,5484.9,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-134,Theft,MENLO PARK,Contents,,,,2026-05-21 14:30:00,10249.0,Home contents - Theft,Theft,MENLO PARK,MENLO PARK,True,True,Gauteng
INC-148,Theft,BRYANSTON,Vehicle,TOYOTA,HILUX 2.4 GD-6 SRX 4X4 A/T P/U D/C-2017-2018,2018.0,2026-05-19 06:02:00,542434.92,Motor Vehicle - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-195,Theft,SOMERSET WEST,Vehicle,SUZUKI,SWIFT 1.2 GL-2018-,2022.0,2026-05-09 16:46:14,3312.5,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-209,Theft,SOMERSET WEST,Contents,,,,2026-05-07 08:00:00,97193.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-214,Theft,SOMERSET WEST,Vehicle,HAVAL,H6 1.5T PREMIUM-2017-2022,2020.0,2026-05-06 08:10:00,8172.18,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
