SUBURB_CLEAN,incident_count,total_cost,latest,peak_share,c_frequency,c_severity,c_recency,c_peak,risk_score,norm_frequency,norm_severity,norm_recency,norm_peak,formula_version,METRO,lat,lon
RONDEBOSCH,102,5118796.23,2026-05-30 18:00:00,0.30526315789473685,4.634728988229636,15.448430053402976,0.9544926440314748,0.30526315789473685,84.8,0.949,0.653,0.897,0.913,risk-pulse-v1,Cape Town,-33.9680556,18.4877778
SOMERSET WEST,107,6032135.3,2026-05-21 19:05:00,0.1958762886597938,4.68213122712422,15.612611784568486,0.9312450015998506,0.1958762886597938,84.7,1.0,0.733,0.844,0.51,risk-pulse-v1,Cape Town,-34.0822195,18.8489342
BRYANSTON,89,9454546.940000001,2026-06-10 12:45:00,0.19047619047619047,4.499809670330265,16.06200644719186,0.9836960163172332,0.19047619047619047,84.0,0.802,0.952,0.963,0.49,risk-pulse-v1,Gauteng,-26.0513889,28.0280556
NEWLANDS,76,7243879.57,2026-05-04 01:00:00,0.3287671232876712,4.343805421853684,15.79566761110188,0.8864345860381478,0.3287671232876712,74.3,0.633,0.822,0.743,1.0,risk-pulse-v1,Cape Town,-33.9742832,18.4572951
SEA POINT,78,4340393.7299999995,2026-05-30 15:45:00,0.18055555555555555,4.3694478524670215,15.283475853553643,0.9544926440314748,0.18055555555555555,64.9,0.66,0.572,0.897,0.453,risk-pulse-v1,Cape Town,-33.9172222,18.3922222
CAPE TOWN CITY CENTRE,93,1343332.83,2026-06-17 03:16:00,0.2727272727272727,4.543294782270004,14.110665014981734,1.0,0.2727272727272727,61.1,0.849,0.0,1.0,0.793,risk-pulse-v1,Cape Town,-33.9252902,18.4185215
GARSFONTEIN,57,10436498.920000002,2026-04-21 16:21:00,0.14545454545454545,4.060443010546419,16.160819827502692,0.857765387923706,0.14545454545454545,58.0,0.325,1.0,0.678,0.324,risk-pulse-v1,Gauteng,-25.7944444,28.3
CLAREMONT,82,2140231.49,2026-04-26 14:40:00,0.21621621621621623,4.418840607796598,14.576425021284033,0.8695964483676948,0.21621621621621623,55.4,0.714,0.227,0.705,0.585,risk-pulse-v1,Cape Town,-33.9847222,18.4625
FOURWAYS,56,4261937.470000001,2026-06-02 18:30:00,0.2830188679245283,4.04305126783455,15.265234654652394,0.9623701178843567,0.2830188679245283,52.7,0.306,0.563,0.915,0.831,risk-pulse-v1,Gauteng,-26.004472,28.0042447
BEDFORDVIEW,50,6873699.78,2026-06-03 05:25:00,0.22916666666666666,3.9318256327243257,15.743213206203874,0.9650103634675903,0.22916666666666666,52.4,0.185,0.796,0.921,0.633,risk-pulse-v1,Gauteng,-26.1763889,28.1425
WATERKLOOF RIDGE,56,8466708.69,2026-04-16 03:25:00,0.057692307692307696,4.04305126783455,15.951652524803807,0.8460952917884976,0.057692307692307696,50.5,0.306,0.898,0.652,0.0,risk-pulse-v1,Gauteng,-25.7872222,28.2388889
MENLO PARK,42,8976319.639999999,2026-05-21 14:30:00,0.19047619047619047,3.7612001156935624,16.010100628031736,0.9312450015998506,0.19047619047619047,45.4,0.0,0.926,0.844,0.49,risk-pulse-v1,Gauteng,-25.7697222,28.2555556
TABLE VIEW,57,1941403.0599999998,2026-05-05 21:00:00,0.3157894736842105,4.060443010546419,14.478922011532415,0.8913050935220118,0.3157894736842105,40.8,0.325,0.18,0.754,0.952,risk-pulse-v1,Cape Town,-33.8236111,18.4902778
CENTURION CENTRAL,50,3190782.9999999995,2025-11-15 10:45:00,0.25,3.9318256327243257,14.975777212590092,0.5579077550285001,0.25,28.1,0.185,0.422,0.0,0.709,risk-pulse-v1,Gauteng,-25.836389,28.180278
