feature,coefficient,absolute_importance,effect
categorical__SUBURB_CAPE TOWN CITY CENTRE,-2.53279277682323,2.53279277682323,decreases high-value likelihood
categorical__SUBURB_MIDDELBURG,-2.101860445589186,2.101860445589186,decreases high-value likelihood
categorical__SUBURB_TZANEEN,-2.0627592151075325,2.0627592151075325,decreases high-value likelihood
categorical__VEHICLE_MAKE_TOYOTA,1.701247862761679,1.701247862761679,increases high-value likelihood
categorical__SUBURB_GOODWOOD ESTATE,-1.6155731211046709,1.6155731211046709,decreases high-value likelihood
categorical__SUBURB_HENNOPSPARK,1.5697393273495015,1.5697393273495015,increases high-value likelihood
categorical__SUBURB_POTCHEFSTROOM,-1.569161945708109,1.569161945708109,decreases high-value likelihood
categorical__SUBURB_PORT ELIZABETH CENTRAL,-1.551965909388586,1.551965909388586,decreases high-value likelihood
categorical__PERIL_Windscreen/ Motor glass damage,-1.5473396985989678,1.5473396985989678,decreases high-value likelihood
categorical__SUBURB_WELLINGTON,-1.5217782027557278,1.5217782027557278,decreases high-value likelihood
categorical__SUBURB_POLOKWANE SCHOOLS,-1.484569982993761,1.484569982993761,decreases high-value likelihood
categorical__SUBURB_SIMON'S TOWN,1.4481219838582597,1.4481219838582597,increases high-value likelihood
categorical__SUBURB_VREDEHOEK,-1.4396100816876978,1.4396100816876978,decreases high-value likelihood
categorical__SUBURB_HALFWAY GARDENS,-1.43273399033737,1.43273399033737,decreases high-value likelihood
categorical__VEHICLE_MAKE_LEXUS,1.423227810047708,1.423227810047708,increases high-value likelihood
categorical__SUBURB_CLAREMONT,-1.4030422617942444,1.4030422617942444,decreases high-value likelihood
categorical__SUBURB_KRAAIFONTEIN,-1.39179211753756,1.39179211753756,decreases high-value likelihood
categorical__SUBURB_MOKOPANE,-1.3860495651174776,1.3860495651174776,decreases high-value likelihood
categorical__SUBURB_CONSTANTIA KLOOF,1.3697882219187765,1.3697882219187765,increases high-value likelihood
categorical__SUBURB_FAR EAST BANK,-1.3242234771999284,1.3242234771999284,decreases high-value likelihood
categorical__SUBURB_FLORIDA PARK,1.2932750817046765,1.2932750817046765,increases high-value likelihood
categorical__SUBURB_MBOMBELA CENTRAL,-1.292262665029424,1.292262665029424,decreases high-value likelihood
categorical__SUBURB_PRETORIA,-1.2526917074938844,1.2526917074938844,decreases high-value likelihood
categorical__SUBURB_TERGNIET,-1.2501794912314717,1.2501794912314717,decreases high-value likelihood
categorical__VEHICLE_MAKE_DAIHATSU,-1.2452431780009918,1.2452431780009918,decreases high-value likelihood
categorical__SUBURB_WATERKLOOF RIDGE,1.2430575998322315,1.2430575998322315,increases high-value likelihood
categorical__SUBURB_PHILIPPI,-1.2287470044406894,1.2287470044406894,decreases high-value likelihood
categorical__SUBURB_GREEN POINT,-1.2171919310148462,1.2171919310148462,decreases high-value likelihood
categorical__SUBURB_STELLENBOSCH CENTRAL,-1.204438421522685,1.204438421522685,decreases high-value likelihood
categorical__SUBURB_PARKVIEW,1.1985001894496736,1.1985001894496736,increases high-value likelihood
categorical__SUBURB_BOSTON,-1.1983232335069778,1.1983232335069778,decreases high-value likelihood
categorical__SUBURB_CONSTANTIA PARK,1.1938777665479057,1.1938777665479057,increases high-value likelihood
categorical__SUBURB_PARKTOWN NORTH,1.1559185679715447,1.1559185679715447,increases high-value likelihood
categorical__VEHICLE_MAKE_PORSCHE,1.146758141095961,1.146758141095961,increases high-value likelihood
categorical__SUBURB_WITBANK EXT,-1.14271173050193,1.14271173050193,decreases high-value likelihood
categorical__SUBURB_ATLASVILLE,1.125599283179418,1.125599283179418,increases high-value likelihood
categorical__SUBURB_SILVERTON,1.1210965941417423,1.1210965941417423,increases high-value likelihood
categorical__SUBURB_NOORDHOEK,-1.0977732516256364,1.0977732516256364,decreases high-value likelihood
categorical__SUBURB_AMANZIMTOTI,-1.0877932993140336,1.0877932993140336,decreases high-value likelihood
categorical__SUBURB_ST FRANCIS BAY,-1.0735899759017815,1.0735899759017815,decreases high-value likelihood
categorical__SUBURB_POLOKWANE CENTRAL,-1.0723568353929411,1.0723568353929411,decreases high-value likelihood
