station,target_year,risk_total_lag_1,risk_total_lag_2,risk_total_lag_3,rolling_3_mean,rolling_3_std,trend_1_year,long_term_mean,year_index,burglary_res_lag_1,robbery_res_lag_1,vehicle_theft_lag_1,carjacking_lag_1,theft_from_vehicle_lag_1,predicted_risk_total,observed_risk_total
aberdeen,2025/2026,60.0,70.0,91.0,73.66666666666667,15.821925715074423,-10.0,75.57142857142857,14,48.0,1.0,1.0,0.0,10.0,61.44,46.0
acornhoek,2025/2026,180.0,272.0,360.0,270.6666666666667,90.00740710260091,-92.0,335.7142857142857,14,116.0,14.0,14.0,15.0,21.0,192.01,179.0
actonville,2025/2026,154.0,230.0,141.0,175.0,48.07286136688766,-76.0,276.64285714285717,14,78.0,4.0,25.0,14.0,33.0,154.15,141.0
addo,2025/2026,118.0,98.0,152.0,122.66666666666667,27.30079363925769,20.0,153.28571428571428,14,83.0,11.0,5.0,4.0,15.0,113.77,103.0
adelaide,2025/2026,59.0,43.0,40.0,47.333333333333336,10.214368964029708,16.0,82.78571428571429,14,47.0,2.0,0.0,1.0,9.0,55.95,71.0
afsondering,2025/2026,7.0,13.0,18.0,12.666666666666666,5.507570547286102,-6.0,30.071428571428573,14,6.0,0.0,0.0,0.0,1.0,10.44,4.0
aggeneys,2025/2026,5.0,4.0,2.0,3.6666666666666665,1.5275252316519465,1.0,4.142857142857143,14,3.0,0.0,0.0,0.0,2.0,4.44,0.0
akasia,2025/2026,1589.0,1482.0,1465.0,1512.0,67.22350779303324,107.0,1839.642857142857,14,606.0,106.0,243.0,166.0,468.0,1458.63,1504.0
albertinia,2025/2026,105.0,82.0,118.0,101.66666666666667,18.230011885167087,23.0,95.14285714285714,14,84.0,0.0,2.0,0.0,19.0,101.18,90.0
alberton,2025/2026,666.0,883.0,1020.0,856.3333333333334,178.5002334265514,-217.0,1318.2142857142858,14,142.0,42.0,254.0,125.0,103.0,684.69,545.0
alexander bay,2025/2026,15.0,11.0,25.0,17.0,7.211102550927978,4.0,25.214285714285715,14,15.0,0.0,0.0,0.0,0.0,14.09,18.0
alexandra,2025/2026,634.0,495.0,732.0,620.3333333333334,119.08960212098005,139.0,820.0,14,189.0,28.0,165.0,138.0,114.0,604.56,754.0
alexandra road,2025/2026,927.0,888.0,992.0,935.6666666666666,52.53887449625594,39.0,1183.5714285714287,14,602.0,55.0,93.0,9.0,168.0,862.03,873.0
alexandria,2025/2026,88.0,119.0,118.0,108.33333333333333,17.61628034896508,-31.0,149.28571428571428,14,74.0,1.0,1.0,0.0,12.0,92.69,77.0
algoapark,2025/2026,396.0,429.0,427.0,417.3333333333333,18.502252115170556,-33.0,626.5714285714286,14,174.0,21.0,31.0,39.0,131.0,376.57,297.0
alice,2025/2026,296.0,302.0,321.0,306.3333333333333,13.051181300301261,-6.0,303.35714285714283,14,220.0,21.0,6.0,4.0,45.0,259.9,239.0
alicedale,2025/2026,20.0,19.0,21.0,20.0,1.0,1.0,21.5,14,20.0,0.0,0.0,0.0,0.0,18.23,18.0
aliwal north,2025/2026,221.0,255.0,295.0,257.0,37.04051835490427,-34.0,207.57142857142858,14,133.0,2.0,2.0,1.0,83.0,209.17,237.0
allanridge,2025/2026,81.0,78.0,103.0,87.33333333333333,13.650396819628847,3.0,87.14285714285714,14,57.0,3.0,1.0,0.0,20.0,78.64,96.0
alldays,2025/2026,25.0,16.0,30.0,23.666666666666668,7.094598884597588,9.0,24.642857142857142,14,18.0,1.0,2.0,0.0,4.0,20.49,21.0
amalia,2025/2026,11.0,10.0,17.0,12.666666666666666,3.7859388972001824,1.0,30.714285714285715,14,8.0,0.0,1.0,0.0,2.0,10.95,18.0
amangwe,2025/2026,66.0,77.0,112.0,85.0,24.020824298928627,-11.0,102.85714285714286,14,51.0,9.0,1.0,1.0,4.0,74.99,57.0
amanzimtoti,2025/2026,594.0,671.0,755.0,673.3333333333334,80.52535832477452,-77.0,1030.642857142857,14,300.0,28.0,114.0,30.0,122.0,565.51,528.0
amersfoort,2025/2026,90.0,101.0,103.0,98.0,7.0,-11.0,163.92857142857142,14,63.0,9.0,0.0,0.0,18.0,89.5,86.0
amsterdam,2025/2026,75.0,64.0,60.0,66.33333333333333,7.767453465154029,11.0,86.0,14,57.0,2.0,3.0,0.0,13.0,68.28,63.0
apel,2025/2026,99.0,95.0,121.0,105.0,14.0,4.0,113.14285714285714,14,64.0,16.0,6.0,4.0,9.0,97.6,90.0
arlington,2025/2026,10.0,11.0,13.0,11.333333333333334,1.5275252316519468,-1.0,12.642857142857142,14,7.0,0.0,2.0,0.0,1.0,9.9,12.0
ashton,2025/2026,151.0,169.0,172.0,164.0,11.357816691600547,-18.0,160.78571428571428,14,118.0,2.0,1.0,0.0,30.0,138.11,105.0
assen,2025/2026,20.0,28.0,39.0,29.0,9.539392014169456,-8.0,47.214285714285715,14,9.0,7.0,1.0,0.0,3.0,23.71,18.0
atamelang,2025/2026,45.0,46.0,59.0,50.0,7.810249675906654,-1.0,52.857142857142854,14,37.0,3.0,0.0,0.0,5.0,44.83,19.0
athlone,2025/2026,601.0,806.0,753.0,720.0,106.40958603434186,-205.0,1136.2857142857142,14,135.0,10.0,97.0,36.0,323.0,584.25,555.0
atlantis,2025/2026,444.0,425.0,443.0,437.3333333333333,10.692676621563626,19.0,723.9285714285714,14,254.0,13.0,17.0,5.0,155.0,394.73,365.0
atteridgeville,2025/2026,651.0,672.0,594.0,639.0,40.36087214122113,-21.0,926.5714285714286,14,256.0,73.0,64.0,101.0,157.0,594.97,629.0
augrabies,2025/2026,34.0,44.0,78.0,52.0,23.065125189341593,-10.0,55.857142857142854,14,33.0,0.0,0.0,0.0,1.0,36.96,32.0
avondale,2025/2026,5.0,11.0,22.0,12.666666666666666,8.621678104251709,-6.0,27.285714285714285,14,4.0,0.0,1.0,0.0,0.0,8.74,4.0
babanango,2025/2026,26.0,19.0,15.0,20.0,5.5677643628300215,7.0,25.857142857142858,14,15.0,7.0,1.0,0.0,3.0,21.66,34.0
badplaas,2025/2026,73.0,56.0,81.0,70.0,12.767145334803704,17.0,63.214285714285715,14,53.0,8.0,3.0,5.0,4.0,71.11,33.0
bainsvlei,2025/2026,162.0,198.0,263.0,207.66666666666666,51.189191567491406,-36.0,311.0,14,81.0,3.0,14.0,0.0,64.0,173.56,150.0
