feature,mae_importance_mean,mae_importance_std
risk_total_lag_1,294.8309138546534,1.4476228442027697
burglary_res_lag_1,2.443118943692265,0.1792763499783145
rolling_3_std,1.0823105929485337,0.07414885765085913
theft_from_vehicle_lag_1,0.430341522982836,0.10494335485602467
trend_1_year,0.41469984894679046,0.02504844562716423
risk_total_lag_3,0.36743581960779464,0.02062512410168151
long_term_mean,0.36414270920303127,0.026019359936730272
rolling_3_mean,0.17781752901730102,0.02737764874242968
vehicle_theft_lag_1,0.1272962254151892,0.01727442818744314
carjacking_lag_1,0.10196884329910887,0.02391169698256115
robbery_res_lag_1,0.05658106276244155,0.019439996341340172
risk_total_lag_2,0.04500957733695685,0.01693010597324213
year_index,1.4210854715202005e-15,2.8421709430404013e-15
