station,year,year_start,risk_total,risk_total_lag_1,split,model_prediction
aberdeen,2011/2012,2011,70,57.0,train,
aberdeen,2012/2013,2012,55,70.0,train,
aberdeen,2013/2014,2013,54,55.0,train,
aberdeen,2014/2015,2014,91,54.0,train,
aberdeen,2015/2016,2015,85,91.0,train,
aberdeen,2016/2017,2016,110,85.0,train,
aberdeen,2017/2018,2017,89,110.0,train,
aberdeen,2018/2019,2018,72,89.0,train,
aberdeen,2019/2020,2019,68,72.0,train,
aberdeen,2020/2021,2020,77,68.0,train,
aberdeen,2021/2022,2021,66,77.0,train,
aberdeen,2022/2023,2022,91,66.0,test,68.78132881821983
aberdeen,2023/2024,2023,70,91.0,test,87.204052575039
aberdeen,2024/2025,2024,60,70.0,test,69.20634815862597
acornhoek,2011/2012,2011,352,416.0,train,
acornhoek,2012/2013,2012,329,352.0,train,
acornhoek,2013/2014,2013,357,329.0,train,
acornhoek,2014/2015,2014,284,357.0,train,
acornhoek,2015/2016,2015,314,284.0,train,
acornhoek,2016/2017,2016,394,314.0,train,
acornhoek,2017/2018,2017,335,394.0,train,
acornhoek,2018/2019,2018,349,335.0,train,
acornhoek,2019/2020,2019,434,349.0,train,
acornhoek,2020/2021,2020,408,434.0,train,
acornhoek,2021/2022,2021,332,408.0,train,
acornhoek,2022/2023,2022,360,332.0,test,336.67499947691414
acornhoek,2023/2024,2023,272,360.0,test,350.8758234828133
acornhoek,2024/2025,2024,180,272.0,test,263.7842589783046
actonville,2011/2012,2011,304,299.0,train,
actonville,2012/2013,2012,329,304.0,train,
actonville,2013/2014,2013,318,329.0,train,
actonville,2014/2015,2014,363,318.0,train,
actonville,2015/2016,2015,285,363.0,train,
actonville,2016/2017,2016,366,285.0,train,
actonville,2017/2018,2017,364,366.0,train,
actonville,2018/2019,2018,309,364.0,train,
actonville,2019/2020,2019,285,309.0,train,
actonville,2020/2021,2020,232,285.0,train,
actonville,2021/2022,2021,193,232.0,train,
actonville,2022/2023,2022,141,193.0,test,194.148309545899
actonville,2023/2024,2023,230,141.0,test,155.21740310078457
actonville,2024/2025,2024,154,230.0,test,217.22858292906557
addo,2011/2012,2011,134,212.0,train,
addo,2012/2013,2012,195,134.0,train,
addo,2013/2014,2013,220,195.0,train,
addo,2014/2015,2014,195,220.0,train,
addo,2015/2016,2015,175,195.0,train,
addo,2016/2017,2016,145,175.0,train,
addo,2017/2018,2017,147,145.0,train,
addo,2018/2019,2018,163,147.0,train,
addo,2019/2020,2019,164,163.0,train,
addo,2020/2021,2020,141,164.0,train,
addo,2021/2022,2021,99,141.0,train,
addo,2022/2023,2022,152,99.0,test,100.45081681965752
addo,2023/2024,2023,98,152.0,test,138.96658846077383
addo,2024/2025,2024,118,98.0,test,99.57307072260194
adelaide,2011/2012,2011,84,100.0,train,
adelaide,2012/2013,2012,90,84.0,train,
adelaide,2013/2014,2013,73,90.0,train,
adelaide,2014/2015,2014,129,73.0,train,
adelaide,2015/2016,2015,103,129.0,train,
adelaide,2016/2017,2016,125,103.0,train,
adelaide,2017/2018,2017,70,125.0,train,
adelaide,2018/2019,2018,79,70.0,train,
adelaide,2019/2020,2019,87,79.0,train,
adelaide,2020/2021,2020,81,87.0,train,
adelaide,2021/2022,2021,96,81.0,train,
adelaide,2022/2023,2022,40,96.0,test,88.54356984534762
adelaide,2023/2024,2023,43,40.0,test,46.172035022651514
adelaide,2024/2025,2024,59,43.0,test,47.50420669241768
