"year","station","loc_mn","dc_mn","longitude","latitude","other_theft","arson","assault_gbh","attempted_murder","attempted_sexoff","bank_robbery","burglary_nonres","burglary_res","carjacking","commercial_crime","common_assault","common_robbery","contact_sexoff","dui","drug_crime","illegal_firearms","kidnapping","malicious_damage","murder","rape","robbery_nonres","robbery_res","cash_transit_robbery","aggr_robbery","sexual_assault","sexual_offences","police_detected_sexoff","shoplifting","stock_theft","vehicle_theft","theft_from_vehicle","truck_hijacking"
"2008/2009","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",491,3,570,25,3,0,104,226,25,161,443,132,1,213,113,34,1,236,24,58,34,42,1,293,7,119,0,218,0,143,272,0
"2009/2010","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",452,5,625,9,3,0,86,180,35,154,473,127,2,264,283,22,1,252,14,55,27,57,1,276,13,115,0,185,0,124,300,0
"2010/2011","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",525,1,586,15,5,0,83,231,23,247,469,113,3,228,108,10,1,208,21,60,36,27,0,238,23,101,0,164,0,96,256,0
"2011/2012","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",559,2,591,18,5,0,92,199,54,197,437,103,4,340,161,18,1,210,10,42,54,46,0,328,3,52,1,111,0,104,243,0
"2012/2013","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",562,0,556,29,5,0,73,210,48,129,441,134,5,351,155,28,1,262,17,71,51,56,1,355,17,96,3,133,0,136,380,0
"2013/2014","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",459,3,532,33,4,1,109,221,33,124,338,111,6,335,356,45,2,248,18,47,50,51,0,423,8,59,0,82,0,149,394,0
"2014/2015","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",459,0,598,18,1,0,69,209,43,93,329,120,7,275,270,24,3,220,23,60,33,63,0,386,11,73,1,100,0,117,408,1
"2015/2016","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",442,3,593,36,4,0,71,199,139,81,410,212,8,512,174,45,4,263,31,39,56,82,0,602,5,52,0,131,0,132,400,0
"2016/2017","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",381,1,496,29,1,0,84,155,89,87,365,206,5,245,186,41,5,251,18,33,69,69,0,577,13,50,1,130,0,103,549,1
"2017/2018","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",376,0,498,23,0,0,62,159,64,77,267,220,6,352,124,31,6,236,27,37,54,62,0,499,14,51,0,127,0,70,431,0
"2018/2019","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",360,2,502,38,2,0,52,137,37,70,327,237,5,220,69,12,7,181,30,55,45,44,0,447,16,76,0,102,0,55,273,0
"2019/2020","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",316,0,477,31,4,0,72,142,39,62,342,240,7,149,45,17,8,189,20,42,51,40,1,393,16,63,2,102,0,50,250,1
"2020/2021","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",243,0,410,38,3,0,88,97,52,73,308,201,7,41,37,10,9,145,22,45,40,40,0,333,10,59,0,71,0,28,208,0
"2021/2022","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",213,1,415,38,1,0,59,91,92,88,247,220,6,170,34,9,10,155,34,35,44,33,0,369,15,51,0,53,0,72,231,0
"2022/2023","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",290,0,388,26,4,0,73,133,69,101,236,236,7,274,39,3,11,125,28,43,66,28,0,338,9,57,1,56,0,123,191,0
"2008/2009","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",46,2,48,3,2,0,15,41,0,1,20,6,6,12,2,3,1,21,2,17,1,1,0,6,1,20,0,0,17,0,2,0
"2009/2010","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",18,3,46,4,5,0,13,50,3,2,18,8,7,4,7,3,1,23,3,14,3,0,0,8,0,20,0,0,9,0,2,0
"2010/2011","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,3,37,0,3,0,8,38,0,0,17,7,6,2,13,0,1,10,3,13,5,1,0,9,0,16,0,0,37,1,5,0
"2011/2012","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",63,3,55,2,1,0,16,42,0,0,16,12,6,0,4,0,1,23,0,12,0,0,0,3,0,13,0,0,5,2,2,0
"2012/2013","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",30,1,42,3,0,0,17,23,0,1,10,6,7,1,7,2,1,12,3,18,8,0,0,8,0,19,0,0,20,1,2,0
"2013/2014","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",41,4,43,0,4,0,17,31,0,2,16,3,6,0,6,0,12,17,1,19,7,2,0,9,0,23,0,0,12,2,6,0
"2014/2015","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",33,1,37,3,2,0,34,52,2,4,22,9,6,2,8,4,13,16,4,13,9,1,0,16,0,15,0,0,11,2,6,0
"2015/2016","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,2,52,1,1,0,34,36,1,6,32,11,6,1,2,1,13,18,1,19,4,2,0,10,1,21,0,0,5,3,8,0
"2016/2017","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",33,2,40,3,1,0,39,58,0,3,26,8,6,4,43,0,13,20,1,12,5,3,0,9,1,14,0,0,9,8,9,0
"2017/2018","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",22,0,29,0,1,0,27,26,0,1,9,3,6,4,43,1,13,11,3,13,3,1,0,5,0,14,0,0,19,10,4,0
"2018/2019","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,2,30,2,1,0,21,30,0,2,6,2,6,7,24,6,13,15,2,18,6,2,0,10,1,20,0,0,13,0,5,0
"2019/2020","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",13,0,21,1,2,0,32,28,1,4,4,3,6,16,18,2,12,8,1,9,10,3,0,15,0,11,0,0,17,2,4,0
"2020/2021","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",14,2,29,0,1,0,22,28,0,2,7,2,6,7,24,2,13,19,2,13,4,0,0,5,0,14,2,0,24,2,8,0
