Station,Crime_Category,Incidents,Year
Aberdeen,17 Community reported serious Crime,241,2025/2026
Aberdeen,Abduction,0,2025/2026
Aberdeen,All theft not mentioned elsewhere,47,2025/2026
Aberdeen,Arson,2,2025/2026
Aberdeen,Assault with the intent to inflict grievous bodily harm,36,2025/2026
Aberdeen,Attempted murder,0,2025/2026
Aberdeen,Attempted sexual offences,0,2025/2026
Aberdeen,Bank robbery,0,2025/2026
Aberdeen,Burglary at non-residential premises,10,2025/2026
Aberdeen,Burglary at residential premises,41,2025/2026
Aberdeen,Carjacking,0,2025/2026
Aberdeen,Commercial crime,11,2025/2026
Aberdeen,Common assault,24,2025/2026
Aberdeen,Common robbery,3,2025/2026
Aberdeen,Contact crime (Crimes against the person),73,2025/2026
Aberdeen,Contact sexual offences,0,2025/2026
Aberdeen,Contact-related Crime,20,2025/2026
Aberdeen,Crime detected as a result of police action,25,2025/2026
Aberdeen,Crimen injuria,1,2025/2026
Aberdeen,Culpable homicide,3,2025/2026
Aberdeen,Driving under the influence of alcohol or drugs,5,2025/2026
Aberdeen,Drug-related crime,20,2025/2026
Aberdeen,Illegal possession of firearms and ammunition,0,2025/2026
Aberdeen,Kidnapping,0,2025/2026
Aberdeen,Malicious damage to property,18,2025/2026
Aberdeen,Murder,4,2025/2026
Aberdeen,Neglect and ill-treatment of children,0,2025/2026
Aberdeen,Other serious Crime,66,2025/2026
Aberdeen,Property-related Crime,82,2025/2026
Aberdeen,Public violence,0,2025/2026
Aberdeen,Rape,3,2025/2026
Aberdeen,Robbery at non-residential premises,0,2025/2026
Aberdeen,Robbery at residential premises,0,2025/2026
Aberdeen,Robbery of cash in transit,0,2025/2026
Aberdeen,Robbery with aggravating circumstances,2,2025/2026
Aberdeen,Sexual assault,1,2025/2026
Aberdeen,Sexual offences,4,2025/2026
Aberdeen,Sexual offences detected as a result of police action,0,2025/2026
Aberdeen,Shoplifting,8,2025/2026
Aberdeen,Stock-theft,26,2025/2026
Aberdeen,TRIO Crime,0,2025/2026
Aberdeen,Theft of motor vehicle and motorcycle,0,2025/2026
Aberdeen,Theft out of or from motor vehicle,5,2025/2026
Aberdeen,Truck hijacking,0,2025/2026
Acornhoek,17 Community reported serious Crime,1563,2025/2026
Acornhoek,Abduction,0,2025/2026
Acornhoek,All theft not mentioned elsewhere,170,2025/2026
Acornhoek,Arson,6,2025/2026
Acornhoek,Assault with the intent to inflict grievous bodily harm,357,2025/2026
Acornhoek,Attempted murder,15,2025/2026
Acornhoek,Attempted sexual offences,3,2025/2026
Acornhoek,Bank robbery,0,2025/2026
Acornhoek,Burglary at non-residential premises,99,2025/2026
Acornhoek,Burglary at residential premises,102,2025/2026
Acornhoek,Carjacking,9,2025/2026
Acornhoek,Commercial crime,136,2025/2026
Acornhoek,Common assault,217,2025/2026
Acornhoek,Common robbery,32,2025/2026
Acornhoek,Contact crime (Crimes against the person),834,2025/2026
Acornhoek,Contact sexual offences,1,2025/2026
Acornhoek,Contact-related Crime,139,2025/2026
Acornhoek,Crime detected as a result of police action,77,2025/2026
Acornhoek,Crimen injuria,13,2025/2026
Acornhoek,Culpable homicide,19,2025/2026
Acornhoek,Driving under the influence of alcohol or drugs,54,2025/2026
Acornhoek,Drug-related crime,9,2025/2026
Acornhoek,Illegal possession of firearms and ammunition,14,2025/2026
Acornhoek,Kidnapping,13,2025/2026
Acornhoek,Malicious damage to property,133,2025/2026
Acornhoek,Murder,18,2025/2026
Acornhoek,Neglect and ill-treatment of children,3,2025/2026
Acornhoek,Other serious Crime,328,2025/2026
Acornhoek,Property-related Crime,262,2025/2026
Acornhoek,Public violence,0,2025/2026
Acornhoek,Rape,97,2025/2026
Acornhoek,Robbery at non-residential premises,13,2025/2026
Acornhoek,Robbery at residential premises,15,2025/2026
Acornhoek,Robbery of cash in transit,0,2025/2026
Acornhoek,Robbery with aggravating circumstances,87,2025/2026
Acornhoek,Sexual assault,7,2025/2026
Acornhoek,Sexual offences,108,2025/2026
Acornhoek,Sexual offences detected as a result of police action,0,2025/2026
Acornhoek,Shoplifting,22,2025/2026
Acornhoek,Stock-theft,8,2025/2026
Acornhoek,TRIO Crime,37,2025/2026
Acornhoek,Theft of motor vehicle and motorcycle,22,2025/2026
Acornhoek,Theft out of or from motor vehicle,31,2025/2026
Acornhoek,Truck hijacking,0,2025/2026
Actonville,17 Community reported serious Crime,674,2025/2026
Actonville,Abduction,0,2025/2026
Actonville,All theft not mentioned elsewhere,79,2025/2026
Actonville,Arson,0,2025/2026
Actonville,Assault with the intent to inflict grievous bodily harm,116,2025/2026
Actonville,Attempted murder,23,2025/2026
Actonville,Attempted sexual offences,2,2025/2026
Actonville,Bank robbery,0,2025/2026
Actonville,Burglary at non-residential premises,22,2025/2026
Actonville,Burglary at residential premises,52,2025/2026
Actonville,Carjacking,30,2025/2026
Actonville,Commercial crime,40,2025/2026
Actonville,Common assault,52,2025/2026
Actonville,Common robbery,8,2025/2026
Actonville,Contact crime (Crimes against the person),375,2025/2026
Actonville,Contact sexual offences,0,2025/2026
Actonville,Contact-related Crime,47,2025/2026
Actonville,Crime detected as a result of police action,690,2025/2026
