Police Station,Province,Crime,Year,Incidents
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2005-2006,6692
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2006-2007,6341
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2007-2008,5966
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2008-2009,5187
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2009-2010,4985
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2010-2011,5127
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2011-2012,5285
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2012-2013,5937
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2013-2014,5600
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2014-2015,5335
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2015-2016,5176
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2016-2017,5496
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2005-2006,5341
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2006-2007,6093
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2007-2008,6316
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2008-2009,6803
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2009-2010,6035
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2010-2011,5761
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2011-2012,6108
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2012-2013,5514
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2013-2014,4975
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2014-2015,4043
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2015-2016,3635
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2016-2017,3322
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2005-2006,5099
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2006-2007,4536
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2007-2008,3309
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2008-2009,2694
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2009-2010,2616
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2010-2011,2606
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2011-2012,2635
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2012-2013,3226
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2013-2014,3246
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2014-2015,2892
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2015-2016,3030
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2016-2017,2956
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2005-2006,4162
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2006-2007,4529
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2007-2008,3499
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2008-2009,3353
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2009-2010,3183
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2010-2011,2933
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2011-2012,3219
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2012-2013,3418
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2013-2014,3390
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2014-2015,2872
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2015-2016,2865
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2016-2017,2776
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2005-2006,1864
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2006-2007,2077
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2007-2008,1805
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2008-2009,1996
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2009-2010,1743
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2010-2011,1949
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2011-2012,1906
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2012-2013,1909
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2013-2014,2143
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2014-2015,2093
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2015-2016,2379
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2016-2017,2426
Sandton,Gauteng,All theft not mentioned elsewhere,2005-2006,3030
Sandton,Gauteng,All theft not mentioned elsewhere,2006-2007,3037
Sandton,Gauteng,All theft not mentioned elsewhere,2007-2008,2556
Sandton,Gauteng,All theft not mentioned elsewhere,2008-2009,2383
Sandton,Gauteng,All theft not mentioned elsewhere,2009-2010,2431
Sandton,Gauteng,All theft not mentioned elsewhere,2010-2011,2601
Sandton,Gauteng,All theft not mentioned elsewhere,2011-2012,2446
